#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:D_mel_TE_RT_protein" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:D_mel_TE_RT_protein" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:D_mel_TE_RT_protein" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.D_mel_TE_RT_protein" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:D_mel_TE_RT_protein" name="distribution" x="@birthRate.t:D_mel_TE_RT_protein">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@D_mel_TE_RT_protein" id="treeLikelihood.D_mel_TE_RT_protein" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:D_mel_TE_RT_protein">
#            <siteModel id="SiteModel.s:D_mel_TE_RT_protein" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:D_mel_TE_RT_protein" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:D_mel_TE_RT_protein" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:D_mel_TE_RT_protein" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Blosum62.s:D_mel_TE_RT_protein" spec="beast.base.evolution.substitutionmodel.Blosum62"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:D_mel_TE_RT_protein" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:D_mel_TE_RT_protein" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
65000	-5602.294244239476	-5592.67769500647	-9.616549233006904	-5592.67769500647	1.7833405409486889	10.076765543402958	-9.616549233006904	1.1573176452938019
66000	-5606.515202120622	-5593.53349828586	-12.981703834762161	-5593.53349828586	1.7204560739745598	10.483902451759887	-12.981703834762161	0.637900873018468
67000	-5604.982202986856	-5594.521742818923	-10.460460167933164	-5594.521742818923	1.5685242706418818	10.20299304945546	-10.460460167933164	0.9392779389449718
68000	-5604.711370203064	-5594.649089636593	-10.062280566470838	-5594.649089636593	1.5790354179675794	9.880381444420205	-10.062280566470838	2.001934348562338
69000	-5606.55225758937	-5596.33905768701	-10.21319990236049	-5596.33905768701	1.639377582502989	10.374289606531566	-10.21319990236049	1.7026582516736373
70000	-5606.975723724245	-5598.073056506987	-8.90266721725725	-5598.073056506987	1.601756743739065	9.692349757948817	-8.90266721725725	1.3249105078958425
71000	-5610.160443817042	-5599.201260554771	-10.959183262270576	-5599.201260554771	1.8396914952877337	10.74077163594579	-10.959183262270576	1.7490703180931433
72000	-5605.568355313505	-5595.149039219098	-10.419316094406765	-5595.149039219098	1.5620725989695996	9.835876899889945	-10.419316094406765	0.8842957557230683
73000	-5608.551642603268	-5599.759686672949	-8.791955930318679	-5599.759686672949	1.5577531980802384	9.63444869583666	-8.791955930318679	1.5397397960066888
74000	-5611.845650460655	-5602.555132548815	-9.290517911839455	-5602.555132548815	1.5569313314153579	9.912013609845424	-9.290517911839455	1.6095510887154556
75000	-5606.106361729983	-5595.266581733115	-10.839779996868046	-5595.266581733115	1.5808980506962227	9.856266682293814	-10.839779996868046	0.8228762678130078
76000	-5611.324662328632	-5602.228401930235	-9.096260398397423	-5602.228401930235	1.516300198341114	9.583294176037867	-9.096260398397423	1.8398567175728935
77000	-5611.830021555532	-5601.291304018842	-10.538717536689642	-5601.291304018842	1.7914408042651422	10.336412175337664	-10.538717536689642	1.8603777962103663
78000	-5609.326312148718	-5598.386250197355	-10.940061951362285	-5598.386250197355	1.742041668853318	10.324157896403856	-10.940061951362285	1.9987376943611008
79000	-5604.260787259636	-5594.264683427467	-9.996103832168707	-5594.264683427467	1.7975315556470983	10.246622687060407	-9.996103832168707	1.7027951059533857
80000	-5607.1285575563215	-5597.835907907664	-9.292649648658347	-5597.835907907664	1.4407334387692072	9.690363017292814	-9.292649648658347	1.8395673239575017
81000	-5609.3776553737725	-5600.203324779253	-9.174330594519029	-5600.203324779253	1.529889604518947	9.82706451474456	-9.174330594519029	1.2397746947349326
82000	-5604.037862673755	-5593.7192172823725	-10.318645391382109	-5593.7192172823725	1.5770395236035704	10.381262239923249	-10.318645391382109	1.0179171692201747
83000	-5606.852080251997	-5597.345283210348	-9.506797041649815	-5597.345283210348	1.6372690021320568	10.132636839261437	-9.506797041649815	1.289051777996459
84000	-5605.134743366994	-5595.539149132418	-9.595594234576087	-5595.539149132418	1.6355701361075046	9.978619073489714	-9.595594234576087	1.1175768621249744
85000	-5613.646726286395	-5604.352384237668	-9.294342048727088	-5604.352384237668	1.5379311327042413	9.811651891180382	-9.294342048727088	1.7264250483699042
86000	-5602.394056419893	-5592.52478621674	-9.869270203152894	-5592.52478621674	1.6280400245331803	9.977141837295848	-9.869270203152894	1.8599417233555477
87000	-5609.662936453657	-5599.636783473209	-10.026152980447318	-5599.636783473209	1.7545484465128	10.540206640216951	-10.026152980447318	1.3212397621951122
88000	-5605.710257533823	-5595.742602850116	-9.96765468370765	-5595.742602850116	1.6637187109147518	10.485595102498241	-9.96765468370765	1.2754719720862073
89000	-5606.062883575517	-5595.47707131789	-10.5858122576271	-5595.47707131789	1.7301651439985153	10.172310494334674	-10.5858122576271	0.9083429678335819
90000	-5605.363844344121	-5596.210135717422	-9.153708626698688	-5596.210135717422	1.4088181190437186	9.600529797527079	-9.153708626698688	1.8526136687135795
